authors,original_title,image_url
Jane Carruth,alice in wonderland,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391458382i/13023._SX50_.jpg
Norton Juster,the phantom tollbooth,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558858485i/378._SX50_.jpg
Thomas  Harris,the silence of the lambs  ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1647930822i/23807._SY75_.jpg
Dr. Seuss,"oh, the places you'll go!",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630510695i/191139._SX50_.jpg
Gustave Flaubert,madame bovary,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1606770119i/2175._SY75_.jpg
Marion Zimmer Bradley,the mists of avalon ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529610467i/40605251._SX50_.jpg
Michael Ende,the neverending story,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554230952i/27712._SY75_.jpg
Charles Dickens,oliver twist,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327868529i/18254._SY75_.jpg
Erin Morgenstern,the night circus,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387124618i/9361589._SY75_.jpg
Kiera Cass,the selection ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322103400i/10507293._SY75_.jpg
Robert Louis Stevenson,treasure island,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1485248909i/295._SX50_.jpg
Richard Bach,jonathan livingston seagull,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432222358i/71728._SX50_.jpg
Sergio Cobo,a story of yesterday,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630609122i/58913358._SY75_.jpg
Madeline Miller,the song of achilles,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357177533i/13623848._SY75_.jpg
Stieg Larsson,the girl who played with fire ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351778881i/5060378._SX50_.jpg
James Joyce,ulysses,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428891345i/338798._SY75_.jpg
